,Old Norse Root,Icelandic Word,Norwegian Nynorsk Word,Old Norse URL,Icelandic URL,Norwegian Nynorsk URL
70,bleikja,bleikja,bleikje,https://en.wiktionary.org/wiki/bleikja#Old_Norse,https://en.wiktionary.org/wiki/bleikja,https://en.wiktionary.org/wiki/bleikje
71,bleikr,bleikur,bleik,https://en.wiktionary.org/wiki/bleikr#Old_Norse,https://en.wiktionary.org/wiki/bleikur,https://en.wiktionary.org/wiki/bleik
72,*bljúgr,bljúgur,blyg,https://en.wiktionary.org/wiki/Reconstruction:Old_Norse/blj%C3%BAgr,https://en.wiktionary.org/wiki/blj%C3%BAgur,https://en.wiktionary.org/wiki/blyg
73,blása,blása,blåse,https://en.wiktionary.org/wiki/bl%C3%A1sa#Old_Norse,https://en.wiktionary.org/wiki/bl%C3%A1sa,https://en.wiktionary.org/wiki/bl%C3%A5se
74,blœða,blæða,blø,https://en.wiktionary.org/wiki/bl%C5%93%C3%B0a#Old_Norse,https://en.wiktionary.org/wiki/bl%C3%A6%C3%B0a,https://en.wiktionary.org/wiki/bl%C3%B8
75,blœða,blæða,bløda,https://en.wiktionary.org/wiki/bl%C5%93%C3%B0a#Old_Norse,https://en.wiktionary.org/wiki/bl%C3%A6%C3%B0a,https://en.wiktionary.org/wiki/bl%C3%B8da
76,blœða,blæða,bløde,https://en.wiktionary.org/wiki/bl%C5%93%C3%B0a#Old_Norse,https://en.wiktionary.org/wiki/bl%C3%A6%C3%B0a,https://en.wiktionary.org/wiki/bl%C3%B8de
77,blóð,blóð,blod,https://en.wiktionary.org/wiki/bl%C3%B3%C3%B0#Old_Norse,https://en.wiktionary.org/wiki/bl%C3%B3%C3%B0,https://en.wiktionary.org/wiki/blod
78,bogi,bogi,boge,https://en.wiktionary.org/wiki/bogi#Old_Norse,https://en.wiktionary.org/wiki/bogi,https://en.wiktionary.org/wiki/boge
79,bolr,bolur,bol,https://en.wiktionary.org/wiki/bolr#Old_Norse,https://en.wiktionary.org/wiki/bolur,https://en.wiktionary.org/wiki/bol
80,borr,bor,bor,https://en.wiktionary.org/wiki/borr#Old_Norse,https://en.wiktionary.org/wiki/bor,https://en.wiktionary.org/wiki/bor
81,borð,borð,bord,https://en.wiktionary.org/wiki/bor%C3%B0#Old_Norse,https://en.wiktionary.org/wiki/bor%C3%B0,https://en.wiktionary.org/wiki/bord
82,botn,botn,botn,https://en.wiktionary.org/wiki/botn#Old_Norse,https://en.wiktionary.org/wiki/botn,https://en.wiktionary.org/wiki/botn
83,brauð,brauð,brød,https://en.wiktionary.org/wiki/brau%C3%B0#Old_Norse,https://en.wiktionary.org/wiki/brau%C3%B0,https://en.wiktionary.org/wiki/br%C3%B8d
84,breidd,breidd,breidd,https://en.wiktionary.org/wiki/breidd#Old_Norse,https://en.wiktionary.org/wiki/breidd,https://en.wiktionary.org/wiki/breidd
85,breiðr,breiður,brei,https://en.wiktionary.org/wiki/brei%C3%B0r#Old_Norse,https://en.wiktionary.org/wiki/brei%C3%B0ur,https://en.wiktionary.org/wiki/brei
86,brestr,brestur,brest,https://en.wiktionary.org/wiki/brestr#Old_Norse,https://en.wiktionary.org/wiki/brestur,https://en.wiktionary.org/wiki/brest
87,brjóta,breyta,bryta,https://en.wiktionary.org/wiki/brj%C3%B3ta#Old_Norse,https://en.wiktionary.org/wiki/breyta,https://en.wiktionary.org/wiki/bryta
88,brjóst,brjóst,bryst,https://en.wiktionary.org/wiki/brj%C3%B3st#Old_Norse,https://en.wiktionary.org/wiki/brj%C3%B3st,https://en.wiktionary.org/wiki/bryst
89,brjóta,brjóta,bryta,https://en.wiktionary.org/wiki/brj%C3%B3ta#Old_Norse,https://en.wiktionary.org/wiki/brj%C3%B3ta,https://en.wiktionary.org/wiki/bryta
90,brot,brot,brot,https://en.wiktionary.org/wiki/brot#Old_Norse,https://en.wiktionary.org/wiki/brot,https://en.wiktionary.org/wiki/brot
91,brynja,brynja,brynje,https://en.wiktionary.org/wiki/brynja#Old_Norse,https://en.wiktionary.org/wiki/brynja,https://en.wiktionary.org/wiki/brynje
92,bréf,bréf,brev,https://en.wiktionary.org/wiki/br%C3%A9f#Old_Norse,https://en.wiktionary.org/wiki/br%C3%A9f,https://en.wiktionary.org/wiki/brev
93,brók,brók,brok,https://en.wiktionary.org/wiki/br%C3%B3k#Old_Norse,https://en.wiktionary.org/wiki/br%C3%B3k,https://en.wiktionary.org/wiki/brok
94,bróðir,bróðir,broder,https://en.wiktionary.org/wiki/br%C3%B3%C3%B0ir#Old_Norse,https://en.wiktionary.org/wiki/br%C3%B3%C3%B0ir,https://en.wiktionary.org/wiki/broder
95,brú,brú,bru,https://en.wiktionary.org/wiki/br%C3%BA#Old_Norse,https://en.wiktionary.org/wiki/br%C3%BA,https://en.wiktionary.org/wiki/bru
96,brúðr,brúður,brud,https://en.wiktionary.org/wiki/br%C3%BA%C3%B0r#Old_Norse,https://en.wiktionary.org/wiki/br%C3%BA%C3%B0ur,https://en.wiktionary.org/wiki/brud
