,Old Norse Root,Icelandic Word,Norwegian Bokmål Word,Old Norse URL,Icelandic URL,Norwegian Bokmål URL
59,botn,botn,botn,https://en.wiktionary.org/wiki/botn#Old_Norse,https://en.wiktionary.org/wiki/botn,https://en.wiktionary.org/wiki/botn
60,botn,botn,bunn,https://en.wiktionary.org/wiki/botn#Old_Norse,https://en.wiktionary.org/wiki/botn,https://en.wiktionary.org/wiki/bunn
61,boð,boð,bud,https://en.wiktionary.org/wiki/bo%C3%B0#Old_Norse,https://en.wiktionary.org/wiki/bo%C3%B0,https://en.wiktionary.org/wiki/bud
62,brauð,brauð,brød,https://en.wiktionary.org/wiki/brau%C3%B0#Old_Norse,https://en.wiktionary.org/wiki/brau%C3%B0,https://en.wiktionary.org/wiki/br%C3%B8d
63,breidd,breidd,bredde,https://en.wiktionary.org/wiki/breidd#Old_Norse,https://en.wiktionary.org/wiki/breidd,https://en.wiktionary.org/wiki/bredde
64,breiðr,breiður,bred,https://en.wiktionary.org/wiki/brei%C3%B0r#Old_Norse,https://en.wiktionary.org/wiki/brei%C3%B0ur,https://en.wiktionary.org/wiki/bred
65,breiðr,breiður,brei,https://en.wiktionary.org/wiki/brei%C3%B0r#Old_Norse,https://en.wiktionary.org/wiki/brei%C3%B0ur,https://en.wiktionary.org/wiki/brei
66,bresta,bresta,briste,https://en.wiktionary.org/wiki/bresta#Old_Norse,https://en.wiktionary.org/wiki/bresta,https://en.wiktionary.org/wiki/briste
67,brjóta,breyta,bryte,https://en.wiktionary.org/wiki/brj%C3%B3ta#Old_Norse,https://en.wiktionary.org/wiki/breyta,https://en.wiktionary.org/wiki/bryte
68,bringa,bringa,bringe,https://en.wiktionary.org/wiki/bringa#Old_Norse,https://en.wiktionary.org/wiki/bringa,https://en.wiktionary.org/wiki/bringe
69,brjóst,brjóst,bryst,https://en.wiktionary.org/wiki/brj%C3%B3st#Old_Norse,https://en.wiktionary.org/wiki/brj%C3%B3st,https://en.wiktionary.org/wiki/bryst
70,brjóta,brjóta,bryte,https://en.wiktionary.org/wiki/brj%C3%B3ta#Old_Norse,https://en.wiktionary.org/wiki/brj%C3%B3ta,https://en.wiktionary.org/wiki/bryte
71,brot,brot,brott,https://en.wiktionary.org/wiki/brot#Old_Norse,https://en.wiktionary.org/wiki/brot,https://en.wiktionary.org/wiki/brott
72,brot,brot,brudd,https://en.wiktionary.org/wiki/brot#Old_Norse,https://en.wiktionary.org/wiki/brot,https://en.wiktionary.org/wiki/brudd
73,bryggja,bryggja,brygge,https://en.wiktionary.org/wiki/bryggja#Old_Norse,https://en.wiktionary.org/wiki/bryggja,https://en.wiktionary.org/wiki/brygge
74,brynja,brynja,brynje,https://en.wiktionary.org/wiki/brynja#Old_Norse,https://en.wiktionary.org/wiki/brynja,https://en.wiktionary.org/wiki/brynje
75,bréf,bréf,brev,https://en.wiktionary.org/wiki/br%C3%A9f#Old_Norse,https://en.wiktionary.org/wiki/br%C3%A9f,https://en.wiktionary.org/wiki/brev
76,bróðir,bróðir,broder,https://en.wiktionary.org/wiki/br%C3%B3%C3%B0ir#Old_Norse,https://en.wiktionary.org/wiki/br%C3%B3%C3%B0ir,https://en.wiktionary.org/wiki/broder
77,brú,brú,bru,https://en.wiktionary.org/wiki/br%C3%BA#Old_Norse,https://en.wiktionary.org/wiki/br%C3%BA,https://en.wiktionary.org/wiki/bru
78,brúðr,brúður,brud,https://en.wiktionary.org/wiki/br%C3%BA%C3%B0r#Old_Norse,https://en.wiktionary.org/wiki/br%C3%BA%C3%B0ur,https://en.wiktionary.org/wiki/brud
79,byggja,byggja,bygge,https://en.wiktionary.org/wiki/byggja#Old_Norse,https://en.wiktionary.org/wiki/byggja,https://en.wiktionary.org/wiki/bygge
80,byggð,byggð,bygd,https://en.wiktionary.org/wiki/bygg%C3%B0#Old_Norse,https://en.wiktionary.org/wiki/bygg%C3%B0,https://en.wiktionary.org/wiki/bygd
81,bylgja,bylgja,bølge,https://en.wiktionary.org/wiki/bylgja#Old_Norse,https://en.wiktionary.org/wiki/bylgja,https://en.wiktionary.org/wiki/b%C3%B8lge
82,bál,bál,bål,https://en.wiktionary.org/wiki/b%C3%A1l#Old_Norse,https://en.wiktionary.org/wiki/b%C3%A1l,https://en.wiktionary.org/wiki/b%C3%A5l
83,bátr,bátur,båt,https://en.wiktionary.org/wiki/b%C3%A1tr#Old_Norse,https://en.wiktionary.org/wiki/b%C3%A1tur,https://en.wiktionary.org/wiki/b%C3%A5t
84,bǿr,bær,bø,https://en.wiktionary.org/wiki/b%C7%BFr#Old_Norse,https://en.wiktionary.org/wiki/b%C3%A6r,https://en.wiktionary.org/wiki/b%C3%B8
85,bera,bæra,bære,https://en.wiktionary.org/wiki/bera#Old_Norse,https://en.wiktionary.org/wiki/b%C3%A6ra,https://en.wiktionary.org/wiki/b%C3%A6re
