,Recipient Language,Source Language(s),Title,Subcategories,Entries,URL
5763,Isubu,Proto-Bantu,Category:Isubu terms derived from Proto-Bantu,1,1,https://en.wiktionary.org/wiki/Category:Isubu_terms_derived_from_Proto-Bantu
5764,Tok Pisin,Indonesian,Category:Tok Pisin terms derived from Indonesian,0,1,https://en.wiktionary.org/wiki/Category:Tok_Pisin_terms_derived_from_Indonesian
5765,Galician,Sauraseni Prakrit,Category:Galician terms derived from Sauraseni Prakrit,0,1,https://en.wiktionary.org/wiki/Category:Galician_terms_derived_from_Sauraseni_Prakrit
5766,Latin,Sauraseni Prakrit,Category:Latin terms derived from Sauraseni Prakrit,0,1,https://en.wiktionary.org/wiki/Category:Latin_terms_derived_from_Sauraseni_Prakrit
5767,Northern Sami,Russian,Category:Northern Sami terms derived from Russian,0,1,https://en.wiktionary.org/wiki/Category:Northern_Sami_terms_derived_from_Russian
5768,Babole,Proto-Bantu,Category:Babole terms derived from Proto-Bantu,1,1,https://en.wiktionary.org/wiki/Category:Babole_terms_derived_from_Proto-Bantu
5769,Proto-Mongolic,Persian,Category:Proto-Mongolic terms derived from Persian,0,1,https://en.wiktionary.org/wiki/Category:Proto-Mongolic_terms_derived_from_Persian
5770,English,Tonga (Malawi),Category:English terms derived from Tonga (Malawi),1,1,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Tonga_(Malawi)
5771,Greek,Samaritan Hebrew,Category:Greek terms derived from Samaritan Hebrew,0,1,https://en.wiktionary.org/wiki/Category:Greek_terms_derived_from_Samaritan_Hebrew
5772,Cimbrian,Old Saxon,Category:Cimbrian terms derived from Old Saxon,0,1,https://en.wiktionary.org/wiki/Category:Cimbrian_terms_derived_from_Old_Saxon
5773,Marathi,Serbo-Croatian,Category:Marathi terms derived from Serbo-Croatian,1,1,https://en.wiktionary.org/wiki/Category:Marathi_terms_derived_from_Serbo-Croatian
5774,Dhivehi,Middle Persian,Category:Dhivehi terms derived from Middle Persian,0,2,https://en.wiktionary.org/wiki/Category:Dhivehi_terms_derived_from_Middle_Persian
5775,Norwegian Nynorsk,Frankish,Category:Norwegian Nynorsk terms derived from Frankish,0,1,https://en.wiktionary.org/wiki/Category:Norwegian_Nynorsk_terms_derived_from_Frankish
5776,Jamaican Creole,Wolof,Category:Jamaican Creole terms derived from Wolof,1,1,https://en.wiktionary.org/wiki/Category:Jamaican_Creole_terms_derived_from_Wolof
5777,Bodo (India),Portuguese,Category:Bodo (India) terms derived from Portuguese,1,1,https://en.wiktionary.org/wiki/Category:Bodo_(India)_terms_derived_from_Portuguese
5778,Japanese,Norwegian Bokmål,Category:Japanese terms derived from Norwegian Bokmål,1,2,https://en.wiktionary.org/wiki/Category:Japanese_terms_derived_from_Norwegian_Bokm%C3%A5l
