,Recipient Language,Source Language(s),Title,Subcategories,Entries,URL
460,Fala,Latin,Category:Fala terms derived from Latin,3,33,https://en.wiktionary.org/wiki/Category:Fala_terms_derived_from_Latin
461,Portuguese,Gaulish,Category:Portuguese terms derived from Gaulish,2,48,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Gaulish
462,French,Gaulish,Category:French terms derived from Gaulish,2,131,https://en.wiktionary.org/wiki/Category:French_terms_derived_from_Gaulish
463,Spanish,Gaulish,Category:Spanish terms derived from Gaulish,2,37,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Gaulish
464,Turkmen,Latin,Category:Turkmen terms derived from Latin,2,10,https://en.wiktionary.org/wiki/Category:Turkmen_terms_derived_from_Latin
465,Extremaduran,Latin,Category:Extremaduran terms derived from Latin,3,30,https://en.wiktionary.org/wiki/Category:Extremaduran_terms_derived_from_Latin
466,Asturian,Hebrew,Category:Asturian terms derived from Hebrew,3,4,https://en.wiktionary.org/wiki/Category:Asturian_terms_derived_from_Hebrew
467,English,Gaulish,Category:English terms derived from Gaulish,1,115,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Gaulish
468,Latin,Oscan,Category:Latin terms derived from Oscan,2,36,https://en.wiktionary.org/wiki/Category:Latin_terms_derived_from_Oscan
469,English,Purepecha,Category:English terms derived from Purepecha,0,6,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Purepecha
470,German,Occitan,Category:German terms derived from Occitan,1,4,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_Occitan
471,Arabic,Greek,Category:Arabic terms derived from Greek,1,11,https://en.wiktionary.org/wiki/Category:Arabic_terms_derived_from_Greek
472,Hebrew,Egyptian,Category:Hebrew terms derived from Egyptian,2,18,https://en.wiktionary.org/wiki/Category:Hebrew_terms_derived_from_Egyptian
473,Livonian,Latin,Category:Livonian terms derived from Latin,2,24,https://en.wiktionary.org/wiki/Category:Livonian_terms_derived_from_Latin
474,Marshallese,Hebrew,Category:Marshallese terms derived from Hebrew,1,6,https://en.wiktionary.org/wiki/Category:Marshallese_terms_derived_from_Hebrew
475,Indonesian,Hebrew,Category:Indonesian terms derived from Hebrew,2,6,https://en.wiktionary.org/wiki/Category:Indonesian_terms_derived_from_Hebrew
476,Latgalian,Latin,Category:Latgalian terms derived from Latin,1,5,https://en.wiktionary.org/wiki/Category:Latgalian_terms_derived_from_Latin
477,Manx,Hebrew,Category:Manx terms derived from Hebrew,4,4,https://en.wiktionary.org/wiki/Category:Manx_terms_derived_from_Hebrew
478,Novial,Latin,Category:Novial terms derived from Latin,1,5,https://en.wiktionary.org/wiki/Category:Novial_terms_derived_from_Latin
479,Italian,Gaulish,Category:Italian terms derived from Gaulish,1,53,https://en.wiktionary.org/wiki/Category:Italian_terms_derived_from_Gaulish
480,Welsh,Hebrew,Category:Welsh terms derived from Hebrew,5,3,https://en.wiktionary.org/wiki/Category:Welsh_terms_derived_from_Hebrew
481,Galician,Gaulish,Category:Galician terms derived from Gaulish,1,29,https://en.wiktionary.org/wiki/Category:Galician_terms_derived_from_Gaulish
482,German,DC Comics,Category:German terms derived from DC Comics,0,1,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_DC_Comics
483,Portuguese,DC Comics,Category:Portuguese terms derived from DC Comics,0,1,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_DC_Comics
484,Finnish,Star Wars,Category:Finnish terms derived from Star Wars,0,1,https://en.wiktionary.org/wiki/Category:Finnish_terms_derived_from_Star_Wars
485,English,Bube,Category:English terms derived from Bube,0,1,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Bube
486,Buryat,Proto-Turkic,Category:Buryat terms derived from Proto-Turkic,1,1,https://en.wiktionary.org/wiki/Category:Buryat_terms_derived_from_Proto-Turkic
487,Navajo,Old French,Category:Navajo terms derived from Old French,1,1,https://en.wiktionary.org/wiki/Category:Navajo_terms_derived_from_Old_French
488,Chechen,Old Ossetic,Category:Chechen terms derived from Old Ossetic,2,1,https://en.wiktionary.org/wiki/Category:Chechen_terms_derived_from_Old_Ossetic
489,Central Tagbanwa,Latin,Category:Central Tagbanwa terms derived from Latin,1,1,https://en.wiktionary.org/wiki/Category:Central_Tagbanwa_terms_derived_from_Latin
490,Dutch,Proto-Uralic,Category:Dutch terms derived from Proto-Uralic,1,1,https://en.wiktionary.org/wiki/Category:Dutch_terms_derived_from_Proto-Uralic
491,German,Proto-Uralic,Category:German terms derived from Proto-Uralic,1,1,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_Proto-Uralic
492,English,Jewish Aramaic,Category:English terms derived from Jewish Aramaic,0,2,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Jewish_Aramaic
493,Old Leonese,Latin,Category:Old Leonese terms derived from Latin,2,5,https://en.wiktionary.org/wiki/Category:Old_Leonese_terms_derived_from_Latin
494,French,American English,Category:French terms derived from American English,1,5,https://en.wiktionary.org/wiki/Category:French_terms_derived_from_American_English
495,Georgian,Proto-Armenian,Category:Georgian terms derived from Proto-Armenian,0,3,https://en.wiktionary.org/wiki/Category:Georgian_terms_derived_from_Proto-Armenian
496,Cebuano,English,Category:Cebuano terms derived from English,7,1275,https://en.wiktionary.org/wiki/Category:Cebuano_terms_derived_from_English
497,Cebuano,Hebrew,Category:Cebuano terms derived from Hebrew,5,27,https://en.wiktionary.org/wiki/Category:Cebuano_terms_derived_from_Hebrew
498,English,Proto-Uralic,Category:English terms derived from Proto-Uralic,1,3,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Proto-Uralic
499,Mongolian,Chinese,Category:Mongolian terms derived from Chinese,1,87,https://en.wiktionary.org/wiki/Category:Mongolian_terms_derived_from_Chinese
500,Navarro-Aragonese,Latin,Category:Navarro-Aragonese terms derived from Latin,2,3,https://en.wiktionary.org/wiki/Category:Navarro-Aragonese_terms_derived_from_Latin
501,Old Danish,Latin,Category:Old Danish terms derived from Latin,1,5,https://en.wiktionary.org/wiki/Category:Old_Danish_terms_derived_from_Latin
502,English,Aramaic,Category:English terms derived from Aramaic,5,73,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Aramaic
503,Dutch,Yiddish,Category:Dutch terms derived from Yiddish,1,95,https://en.wiktionary.org/wiki/Category:Dutch_terms_derived_from_Yiddish
504,Rohingya,Persian,Category:Rohingya terms derived from Persian,2,6,https://en.wiktionary.org/wiki/Category:Rohingya_terms_derived_from_Persian
505,Japanese,Mandarin,Category:Japanese terms derived from Mandarin,1,131,https://en.wiktionary.org/wiki/Category:Japanese_terms_derived_from_Mandarin
506,Armenian,Italian,Category:Armenian terms derived from Italian,1,11,https://en.wiktionary.org/wiki/Category:Armenian_terms_derived_from_Italian
507,Punjabi,Persian,Category:Punjabi terms derived from Persian,2,167,https://en.wiktionary.org/wiki/Category:Punjabi_terms_derived_from_Persian
508,Macedonian,German,Category:Macedonian terms derived from German,2,73,https://en.wiktionary.org/wiki/Category:Macedonian_terms_derived_from_German
509,Ukrainian,Italian,Category:Ukrainian terms derived from Italian,2,7,https://en.wiktionary.org/wiki/Category:Ukrainian_terms_derived_from_Italian
510,Latin,Aramaic,Category:Latin terms derived from Aramaic,4,24,https://en.wiktionary.org/wiki/Category:Latin_terms_derived_from_Aramaic
511,Ludian,Proto-Uralic,Category:Ludian terms derived from Proto-Uralic,2,3,https://en.wiktionary.org/wiki/Category:Ludian_terms_derived_from_Proto-Uralic
512,Turkmen,Persian,Category:Turkmen terms derived from Persian,2,32,https://en.wiktionary.org/wiki/Category:Turkmen_terms_derived_from_Persian
513,Kannada,Persian,Category:Kannada terms derived from Persian,2,9,https://en.wiktionary.org/wiki/Category:Kannada_terms_derived_from_Persian
514,Indonesian,Italian,Category:Indonesian terms derived from Italian,1,41,https://en.wiktionary.org/wiki/Category:Indonesian_terms_derived_from_Italian
515,German,Hebrew,Category:German terms derived from Hebrew,6,94,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_Hebrew
516,Korean,Japanese,Category:Korean terms derived from Japanese,1,315,https://en.wiktionary.org/wiki/Category:Korean_terms_derived_from_Japanese
517,Georgian,Arabic,Category:Georgian terms derived from Arabic,1,174,https://en.wiktionary.org/wiki/Category:Georgian_terms_derived_from_Arabic
518,Greek,Hebrew,Category:Greek terms derived from Hebrew,4,12,https://en.wiktionary.org/wiki/Category:Greek_terms_derived_from_Hebrew
519,Persian,Hebrew,Category:Persian terms derived from Hebrew,5,11,https://en.wiktionary.org/wiki/Category:Persian_terms_derived_from_Hebrew
520,Galician,Hebrew,Category:Galician terms derived from Hebrew,3,11,https://en.wiktionary.org/wiki/Category:Galician_terms_derived_from_Hebrew
521,Italian,Hebrew,Category:Italian terms derived from Hebrew,5,118,https://en.wiktionary.org/wiki/Category:Italian_terms_derived_from_Hebrew
522,Sicilian,Spanish,Category:Sicilian terms derived from Spanish,1,33,https://en.wiktionary.org/wiki/Category:Sicilian_terms_derived_from_Spanish
523,Korean,Hebrew,Category:Korean terms derived from Hebrew,2,20,https://en.wiktionary.org/wiki/Category:Korean_terms_derived_from_Hebrew
524,Portuguese,Hebrew,Category:Portuguese terms derived from Hebrew,5,87,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Hebrew
525,Polish,Hebrew,Category:Polish terms derived from Hebrew,4,51,https://en.wiktionary.org/wiki/Category:Polish_terms_derived_from_Hebrew
526,Russian,Hebrew,Category:Russian terms derived from Hebrew,6,59,https://en.wiktionary.org/wiki/Category:Russian_terms_derived_from_Hebrew
527,English,Akkadian,Category:English terms derived from Akkadian,1,65,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Akkadian
528,Portuguese,Gothic,Category:Portuguese terms derived from Gothic,2,75,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Gothic
529,Marshallese,Italian,Category:Marshallese terms derived from Italian,2,12,https://en.wiktionary.org/wiki/Category:Marshallese_terms_derived_from_Italian
530,Mauritian Creole,Latin,Category:Mauritian Creole terms derived from Latin,1,4,https://en.wiktionary.org/wiki/Category:Mauritian_Creole_terms_derived_from_Latin
531,Cimbrian,Italian,Category:Cimbrian terms derived from Italian,2,38,https://en.wiktionary.org/wiki/Category:Cimbrian_terms_derived_from_Italian
532,Faroese,Hebrew,Category:Faroese terms derived from Hebrew,3,25,https://en.wiktionary.org/wiki/Category:Faroese_terms_derived_from_Hebrew
533,Finnish,Hebrew,Category:Finnish terms derived from Hebrew,5,36,https://en.wiktionary.org/wiki/Category:Finnish_terms_derived_from_Hebrew
534,Catalan,Italian,Category:Catalan terms derived from Italian,4,81,https://en.wiktionary.org/wiki/Category:Catalan_terms_derived_from_Italian
535,Spanish,Hebrew,Category:Spanish terms derived from Hebrew,6,61,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Hebrew
536,Hebrew,Italian,Category:Hebrew terms derived from Italian,2,17,https://en.wiktionary.org/wiki/Category:Hebrew_terms_derived_from_Italian
537,Tataltepec Chatino,Latin,Category:Tataltepec Chatino terms derived from Latin,1,2,https://en.wiktionary.org/wiki/Category:Tataltepec_Chatino_terms_derived_from_Latin
538,Mòcheno,Italian,Category:Mòcheno terms derived from Italian,2,17,https://en.wiktionary.org/wiki/Category:M%C3%B2cheno_terms_derived_from_Italian
539,Czech,Harry Potter,Category:Czech terms derived from Harry Potter,0,1,https://en.wiktionary.org/wiki/Category:Czech_terms_derived_from_Harry_Potter
540,Finnish,DC Comics,Category:Finnish terms derived from DC Comics,0,2,https://en.wiktionary.org/wiki/Category:Finnish_terms_derived_from_DC_Comics
541,Catalan,Tolkien's legendarium,Category:Catalan terms derived from Tolkien's legendarium,0,1,https://en.wiktionary.org/wiki/Category:Catalan_terms_derived_from_Tolkien%27s_legendarium
542,Finnish,Tolkien's legendarium,Category:Finnish terms derived from Tolkien's legendarium,0,2,https://en.wiktionary.org/wiki/Category:Finnish_terms_derived_from_Tolkien%27s_legendarium
543,Hungarian,Star Wars,Category:Hungarian terms derived from Star Wars,0,2,https://en.wiktionary.org/wiki/Category:Hungarian_terms_derived_from_Star_Wars
544,Hakka,Min Nan,Category:Hakka terms derived from Min Nan,2,1,https://en.wiktionary.org/wiki/Category:Hakka_terms_derived_from_Min_Nan
545,Estonian,Low German,Category:Estonian terms derived from Low German,0,1,https://en.wiktionary.org/wiki/Category:Estonian_terms_derived_from_Low_German
546,Serbo-Croatian,Macedonian,Category:Serbo-Croatian terms derived from Macedonian,0,2,https://en.wiktionary.org/wiki/Category:Serbo-Croatian_terms_derived_from_Macedonian
547,Belarusian,Ancient Greek,Category:Belarusian terms derived from Ancient Greek,5,56,https://en.wiktionary.org/wiki/Category:Belarusian_terms_derived_from_Ancient_Greek
548,Gujarati,Old French,Category:Gujarati terms derived from Old French,1,5,https://en.wiktionary.org/wiki/Category:Gujarati_terms_derived_from_Old_French
549,West Flemish,Latin,Category:West Flemish terms derived from Latin,1,13,https://en.wiktionary.org/wiki/Category:West_Flemish_terms_derived_from_Latin
550,Torwali,Sanskrit,Category:Torwali terms derived from Sanskrit,2,29,https://en.wiktionary.org/wiki/Category:Torwali_terms_derived_from_Sanskrit
551,Chinese,Latin,Category:Chinese terms derived from Latin,2,44,https://en.wiktionary.org/wiki/Category:Chinese_terms_derived_from_Latin
552,Hungarian,Viennese German,Category:Hungarian terms derived from Viennese German,1,4,https://en.wiktionary.org/wiki/Category:Hungarian_terms_derived_from_Viennese_German
553,Chagatai,Proto-Turkic,Category:Chagatai terms derived from Proto-Turkic,2,29,https://en.wiktionary.org/wiki/Category:Chagatai_terms_derived_from_Proto-Turkic
554,German,French,Category:German terms derived from French,6,1576,https://en.wiktionary.org/wiki/Category:German_terms_derived_from_French
555,Ido,French,Category:Ido terms derived from French,1,1575,https://en.wiktionary.org/wiki/Category:Ido_terms_derived_from_French
556,Punjabi,Sanskrit,Category:Punjabi terms derived from Sanskrit,3,322,https://en.wiktionary.org/wiki/Category:Punjabi_terms_derived_from_Sanskrit
557,Macedonian,Old French,Category:Macedonian terms derived from Old French,1,6,https://en.wiktionary.org/wiki/Category:Macedonian_terms_derived_from_Old_French
558,Russian,Proto-Turkic,Category:Russian terms derived from Proto-Turkic,1,14,https://en.wiktionary.org/wiki/Category:Russian_terms_derived_from_Proto-Turkic
559,Picard,Old French,Category:Picard terms derived from Old French,2,54,https://en.wiktionary.org/wiki/Category:Picard_terms_derived_from_Old_French
560,Norwegian Nynorsk,Hebrew,Category:Norwegian Nynorsk terms derived from Hebrew,1,6,https://en.wiktionary.org/wiki/Category:Norwegian_Nynorsk_terms_derived_from_Hebrew
561,Malay,Old French,Category:Malay terms derived from Old French,1,32,https://en.wiktionary.org/wiki/Category:Malay_terms_derived_from_Old_French
562,Polish,Old French,Category:Polish terms derived from Old French,1,70,https://en.wiktionary.org/wiki/Category:Polish_terms_derived_from_Old_French
563,Uzbek,Proto-Turkic,Category:Uzbek terms derived from Proto-Turkic,2,140,https://en.wiktionary.org/wiki/Category:Uzbek_terms_derived_from_Proto-Turkic
564,Old French,Gaulish,Category:Old French terms derived from Gaulish,2,29,https://en.wiktionary.org/wiki/Category:Old_French_terms_derived_from_Gaulish
565,Khakas,Proto-Turkic,Category:Khakas terms derived from Proto-Turkic,2,102,https://en.wiktionary.org/wiki/Category:Khakas_terms_derived_from_Proto-Turkic
566,Shor,Proto-Turkic,Category:Shor terms derived from Proto-Turkic,2,77,https://en.wiktionary.org/wiki/Category:Shor_terms_derived_from_Proto-Turkic
567,Yiddish,Proto-Slavic,Category:Yiddish terms derived from Proto-Slavic,0,20,https://en.wiktionary.org/wiki/Category:Yiddish_terms_derived_from_Proto-Slavic
568,Spanish,Proto-Germanic,Category:Spanish terms derived from Proto-Germanic,2,138,https://en.wiktionary.org/wiki/Category:Spanish_terms_derived_from_Proto-Germanic
569,Kapingamarangi,Proto-Oceanic,Category:Kapingamarangi terms derived from Proto-Oceanic,1,7,https://en.wiktionary.org/wiki/Category:Kapingamarangi_terms_derived_from_Proto-Oceanic
570,Yakut,Proto-Turkic,Category:Yakut terms derived from Proto-Turkic,2,146,https://en.wiktionary.org/wiki/Category:Yakut_terms_derived_from_Proto-Turkic
571,Northern Sami,Latin,Category:Northern Sami terms derived from Latin,1,34,https://en.wiktionary.org/wiki/Category:Northern_Sami_terms_derived_from_Latin
572,Malay,Ancient Greek,Category:Malay terms derived from Ancient Greek,2,79,https://en.wiktionary.org/wiki/Category:Malay_terms_derived_from_Ancient_Greek
573,Macedonian,Ancient Greek,Category:Macedonian terms derived from Ancient Greek,2,74,https://en.wiktionary.org/wiki/Category:Macedonian_terms_derived_from_Ancient_Greek
574,Uzbek,Ancient Greek,Category:Uzbek terms derived from Ancient Greek,1,19,https://en.wiktionary.org/wiki/Category:Uzbek_terms_derived_from_Ancient_Greek
575,Korean,Ancient Greek,Category:Korean terms derived from Ancient Greek,2,31,https://en.wiktionary.org/wiki/Category:Korean_terms_derived_from_Ancient_Greek
576,Ladino,Ancient Greek,Category:Ladino terms derived from Ancient Greek,1,24,https://en.wiktionary.org/wiki/Category:Ladino_terms_derived_from_Ancient_Greek
577,Lithuanian,Ancient Greek,Category:Lithuanian terms derived from Ancient Greek,2,57,https://en.wiktionary.org/wiki/Category:Lithuanian_terms_derived_from_Ancient_Greek
578,Scottish Gaelic,Hebrew,Category:Scottish Gaelic terms derived from Hebrew,5,6,https://en.wiktionary.org/wiki/Category:Scottish_Gaelic_terms_derived_from_Hebrew
579,Old French,Hebrew,Category:Old French terms derived from Hebrew,2,5,https://en.wiktionary.org/wiki/Category:Old_French_terms_derived_from_Hebrew
580,Kyrgyz,Proto-Turkic,Category:Kyrgyz terms derived from Proto-Turkic,2,102,https://en.wiktionary.org/wiki/Category:Kyrgyz_terms_derived_from_Proto-Turkic
581,Arabic,Ottoman Turkish,Category:Arabic terms derived from Ottoman Turkish,1,91,https://en.wiktionary.org/wiki/Category:Arabic_terms_derived_from_Ottoman_Turkish
582,English,Old Italian,Category:English terms derived from Old Italian,0,36,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Old_Italian
583,Moksha,Proto-Uralic,Category:Moksha terms derived from Proto-Uralic,2,34,https://en.wiktionary.org/wiki/Category:Moksha_terms_derived_from_Proto-Uralic
584,Uyghur,Proto-Turkic,Category:Uyghur terms derived from Proto-Turkic,2,114,https://en.wiktionary.org/wiki/Category:Uyghur_terms_derived_from_Proto-Turkic
585,Indo-Portuguese,Latin,Category:Indo-Portuguese terms derived from Latin,1,18,https://en.wiktionary.org/wiki/Category:Indo-Portuguese_terms_derived_from_Latin
586,Middle English,Italian,Category:Middle English terms derived from Italian,1,4,https://en.wiktionary.org/wiki/Category:Middle_English_terms_derived_from_Italian
587,Bulgarian,Ancient Greek,Category:Bulgarian terms derived from Ancient Greek,4,93,https://en.wiktionary.org/wiki/Category:Bulgarian_terms_derived_from_Ancient_Greek
588,Faroese,Ancient Greek,Category:Faroese terms derived from Ancient Greek,5,105,https://en.wiktionary.org/wiki/Category:Faroese_terms_derived_from_Ancient_Greek
589,Istro-Romanian,Latin,Category:Istro-Romanian terms derived from Latin,2,42,https://en.wiktionary.org/wiki/Category:Istro-Romanian_terms_derived_from_Latin
590,Afrikaans,Ancient Greek,Category:Afrikaans terms derived from Ancient Greek,3,65,https://en.wiktionary.org/wiki/Category:Afrikaans_terms_derived_from_Ancient_Greek
591,Dutch,French,Category:Dutch terms derived from French,3,1806,https://en.wiktionary.org/wiki/Category:Dutch_terms_derived_from_French
592,English,Byzantine Greek,Category:English terms derived from Byzantine Greek,2,106,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Byzantine_Greek
593,Asturian,Ancient Greek,Category:Asturian terms derived from Ancient Greek,2,124,https://en.wiktionary.org/wiki/Category:Asturian_terms_derived_from_Ancient_Greek
594,Muduapa,Proto-Oceanic,Category:Muduapa terms derived from Proto-Oceanic,1,3,https://en.wiktionary.org/wiki/Category:Muduapa_terms_derived_from_Proto-Oceanic
595,Azerbaijani,Middle Mongolian,Category:Azerbaijani terms derived from Middle Mongolian,1,7,https://en.wiktionary.org/wiki/Category:Azerbaijani_terms_derived_from_Middle_Mongolian
596,Mòcheno,Ancient Greek,Category:Mòcheno terms derived from Ancient Greek,1,13,https://en.wiktionary.org/wiki/Category:M%C3%B2cheno_terms_derived_from_Ancient_Greek
597,Latin,Old French,Category:Latin terms derived from Old French,2,15,https://en.wiktionary.org/wiki/Category:Latin_terms_derived_from_Old_French
598,Pashto,Ancient Greek,Category:Pashto terms derived from Ancient Greek,1,8,https://en.wiktionary.org/wiki/Category:Pashto_terms_derived_from_Ancient_Greek
599,Mansi,Proto-Uralic,Category:Mansi terms derived from Proto-Uralic,2,58,https://en.wiktionary.org/wiki/Category:Mansi_terms_derived_from_Proto-Uralic
600,Old Spanish,Hebrew,Category:Old Spanish terms derived from Hebrew,2,4,https://en.wiktionary.org/wiki/Category:Old_Spanish_terms_derived_from_Hebrew
601,Livvi,Proto-Uralic,Category:Livvi terms derived from Proto-Uralic,2,11,https://en.wiktionary.org/wiki/Category:Livvi_terms_derived_from_Proto-Uralic
602,Middle Welsh,Latin,Category:Middle Welsh terms derived from Latin,2,9,https://en.wiktionary.org/wiki/Category:Middle_Welsh_terms_derived_from_Latin
603,Serbo-Croatian,DC Comics,Category:Serbo-Croatian terms derived from DC Comics,0,1,https://en.wiktionary.org/wiki/Category:Serbo-Croatian_terms_derived_from_DC_Comics
604,Serbo-Croatian,Harry Potter,Category:Serbo-Croatian terms derived from Harry Potter,0,3,https://en.wiktionary.org/wiki/Category:Serbo-Croatian_terms_derived_from_Harry_Potter
605,Armenian,Middle Persian,Category:Armenian terms derived from Middle Persian,2,9,https://en.wiktionary.org/wiki/Category:Armenian_terms_derived_from_Middle_Persian
606,Portuguese,Duckburg and Mouseton,Category:Portuguese terms derived from Duckburg and Mouseton,0,3,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Duckburg_and_Mouseton
607,Early Assamese,Proto-Indo-Iranian,Category:Early Assamese terms derived from Proto-Indo-Iranian,1,12,https://en.wiktionary.org/wiki/Category:Early_Assamese_terms_derived_from_Proto-Indo-Iranian
608,Shor,Mongolic languages,Category:Shor terms derived from Mongolic languages,2,2,https://en.wiktionary.org/wiki/Category:Shor_terms_derived_from_Mongolic_languages
609,French,Quechuan languages,Category:French terms derived from Quechuan languages,1,1,https://en.wiktionary.org/wiki/Category:French_terms_derived_from_Quechuan_languages
610,French,Sami languages,Category:French terms derived from Sami languages,1,1,https://en.wiktionary.org/wiki/Category:French_terms_derived_from_Sami_languages
611,English,Misumalpan languages,Category:English terms derived from Misumalpan languages,1,1,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Misumalpan_languages
612,Portuguese,Quechuan languages,Category:Portuguese terms derived from Quechuan languages,1,1,https://en.wiktionary.org/wiki/Category:Portuguese_terms_derived_from_Quechuan_languages
613,English,Munda languages,Category:English terms derived from Munda languages,2,1,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Munda_languages
614,Abkhaz,Armenian languages,Category:Abkhaz terms derived from Armenian languages,2,1,https://en.wiktionary.org/wiki/Category:Abkhaz_terms_derived_from_Armenian_languages
615,Hawaiian,Sinitic languages,Category:Hawaiian terms derived from Sinitic languages,2,1,https://en.wiktionary.org/wiki/Category:Hawaiian_terms_derived_from_Sinitic_languages
616,Faroese,Sami languages,Category:Faroese terms derived from Sami languages,1,2,https://en.wiktionary.org/wiki/Category:Faroese_terms_derived_from_Sami_languages
617,Persian,Dravidian languages,Category:Persian terms derived from Dravidian languages,1,1,https://en.wiktionary.org/wiki/Category:Persian_terms_derived_from_Dravidian_languages
618,Yurok,Algic languages,Category:Yurok terms derived from Algic languages,1,1,https://en.wiktionary.org/wiki/Category:Yurok_terms_derived_from_Algic_languages
619,English,Aymaran languages,Category:English terms derived from Aymaran languages,1,1,https://en.wiktionary.org/wiki/Category:English_terms_derived_from_Aymaran_languages
620,Neapolitan,Old High German,Category:Neapolitan terms derived from Old High German,1,1,https://en.wiktionary.org/wiki/Category:Neapolitan_terms_derived_from_Old_High_German
621,Knaanic,Slavic languages,Category:Knaanic terms derived from Slavic languages,1,1,https://en.wiktionary.org/wiki/Category:Knaanic_terms_derived_from_Slavic_languages
622,Russian,Tungusic languages,Category:Russian terms derived from Tungusic languages,1,1,https://en.wiktionary.org/wiki/Category:Russian_terms_derived_from_Tungusic_languages
623,Afrikaans,Sinitic languages,Category:Afrikaans terms derived from Sinitic languages,1,1,https://en.wiktionary.org/wiki/Category:Afrikaans_terms_derived_from_Sinitic_languages
624,Friulian,Old High German,Category:Friulian terms derived from Old High German,1,1,https://en.wiktionary.org/wiki/Category:Friulian_terms_derived_from_Old_High_German
625,Aromanian,Germanic languages,Category:Aromanian terms derived from Germanic languages,1,1,https://en.wiktionary.org/wiki/Category:Aromanian_terms_derived_from_Germanic_languages
626,Tarifit,Berber languages,Category:Tarifit terms derived from Berber languages,1,1,https://en.wiktionary.org/wiki/Category:Tarifit_terms_derived_from_Berber_languages
627,Hausa,Chadic languages,Category:Hausa terms derived from Chadic languages,1,1,https://en.wiktionary.org/wiki/Category:Hausa_terms_derived_from_Chadic_languages
628,Ukrainian,Oghur languages,Category:Ukrainian terms derived from Oghur languages,2,1,https://en.wiktionary.org/wiki/Category:Ukrainian_terms_derived_from_Oghur_languages
629,Egyptian Arabic,Ancient Greek,Category:Egyptian Arabic terms derived from Ancient Greek,2,1,https://en.wiktionary.org/wiki/Category:Egyptian_Arabic_terms_derived_from_Ancient_Greek
630,Chagatai,Mongolic languages,Category:Chagatai terms derived from Mongolic languages,1,1,https://en.wiktionary.org/wiki/Category:Chagatai_terms_derived_from_Mongolic_languages
631,Sotho,Latin,Category:Sotho terms derived from Latin,2,1,https://en.wiktionary.org/wiki/Category:Sotho_terms_derived_from_Latin
632,Sinhalese,Latin,Category:Sinhalese terms derived from Latin,2,3,https://en.wiktionary.org/wiki/Category:Sinhalese_terms_derived_from_Latin
633,Mozarabic,Latin,Category:Mozarabic terms derived from Latin,3,41,https://en.wiktionary.org/wiki/Category:Mozarabic_terms_derived_from_Latin
634,Westrobothnian,Latin,Category:Westrobothnian terms derived from Latin,2,27,https://en.wiktionary.org/wiki/Category:Westrobothnian_terms_derived_from_Latin
635,Bavarian,Latin,Category:Bavarian terms derived from Latin,6,11,https://en.wiktionary.org/wiki/Category:Bavarian_terms_derived_from_Latin
636,Mongolian,Latin,Category:Mongolian terms derived from Latin,3,16,https://en.wiktionary.org/wiki/Category:Mongolian_terms_derived_from_Latin
637,Bulgarian,Latin,Category:Bulgarian terms derived from Latin,3,124,https://en.wiktionary.org/wiki/Category:Bulgarian_terms_derived_from_Latin
638,Gothic,Latin,Category:Gothic terms derived from Latin,3,53,https://en.wiktionary.org/wiki/Category:Gothic_terms_derived_from_Latin
639,Marathi,Latin,Category:Marathi terms derived from Latin,2,7,https://en.wiktionary.org/wiki/Category:Marathi_terms_derived_from_Latin
640,Uzbek,Latin,Category:Uzbek terms derived from Latin,3,41,https://en.wiktionary.org/wiki/Category:Uzbek_terms_derived_from_Latin
641,Gujarati,Latin,Category:Gujarati terms derived from Latin,2,13,https://en.wiktionary.org/wiki/Category:Gujarati_terms_derived_from_Latin
642,Chavacano,Latin,Category:Chavacano terms derived from Latin,3,19,https://en.wiktionary.org/wiki/Category:Chavacano_terms_derived_from_Latin
643,Romagnol,Latin,Category:Romagnol terms derived from Latin,3,25,https://en.wiktionary.org/wiki/Category:Romagnol_terms_derived_from_Latin
644,Arabic,Avestan,Category:Arabic terms derived from Avestan,1,4,https://en.wiktionary.org/wiki/Category:Arabic_terms_derived_from_Avestan
645,Leonese,Latin,Category:Leonese terms derived from Latin,4,38,https://en.wiktionary.org/wiki/Category:Leonese_terms_derived_from_Latin
